

 8176 atoms
17 atom types
-49 72.0363 xlo xhi
0 24.2487 ylo yhi
-4.55 50.05 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge

1 1 0.000000 0.700000 0.000000  0.000000
2 1 0.000000 4.900000 0.000000  0.000000
3 5 0.000000 9.100000 0.000000  0.000000
4 1 0.000000 13.300000 0.000000  0.000000
5 1 0.000000 17.500000 0.000000  0.000000
6 5 0.000000 21.700000 0.000000  0.000000
7 1 0.000000 0.700000 2.424871  0.000000
8 1 0.000000 4.900000 2.424871  0.000000
9 5 0.000000 9.100000 2.424871  0.000000
10 1 0.000000 13.300000 2.424871  0.000000
11 5 0.000000 17.500000 2.424871  0.000000
12 5 0.000000 21.700000 2.424871  0.000000
13 1 0.000000 0.700000 4.849742  0.000000
14 1 0.000000 4.900000 4.849742  0.000000
15 1 0.000000 9.100000 4.849742  0.000000
16 1 0.000000 13.300000 4.849742  0.000000
17 1 0.000000 17.500000 4.849742  0.000000
18 5 0.000000 21.700000 4.849742  0.000000
19 1 0.000000 0.700000 7.274613  0.000000
20 1 0.000000 4.900000 7.274613  0.000000
21 1 0.000000 9.100000 7.274613  0.000000
22 1 0.000000 13.300000 7.274613  0.000000
23 5 0.000000 17.500000 7.274613  0.000000
24 1 0.000000 21.700000 7.274613  0.000000
25 1 0.000000 0.700000 9.699485  0.000000
26 1 0.000000 4.900000 9.699485  0.000000
27 1 0.000000 9.100000 9.699485  0.000000
28 1 0.000000 13.300000 9.699485  0.000000
29 5 0.000000 17.500000 9.699485  0.000000
30 5 0.000000 21.700000 9.699485  0.000000
31 1 0.000000 0.700000 12.124356  0.000000
32 5 0.000000 4.900000 12.124356  0.000000
33 1 0.000000 9.100000 12.124356  0.000000
34 1 0.000000 13.300000 12.124356  0.000000
35 1 0.000000 17.500000 12.124356  0.000000
36 5 0.000000 21.700000 12.124356  0.000000
37 1 0.000000 0.700000 14.549227  0.000000
38 5 0.000000 4.900000 14.549227  0.000000
39 1 0.000000 9.100000 14.549227  0.000000
40 1 0.000000 13.300000 14.549227  0.000000
41 5 0.000000 17.500000 14.549227  0.000000
42 5 0.000000 21.700000 14.549227  0.000000
43 1 0.000000 0.700000 16.974098  0.000000
44 1 0.000000 4.900000 16.974098  0.000000
45 1 0.000000 9.100000 16.974098  0.000000
46 5 0.000000 13.300000 16.974098  0.000000
47 1 0.000000 17.500000 16.974098  0.000000
48 1 0.000000 21.700000 16.974098  0.000000
49 1 0.000000 0.700000 19.398969  0.000000
50 1 0.000000 4.900000 19.398969  0.000000
51 5 0.000000 9.100000 19.398969  0.000000
52 1 0.000000 13.300000 19.398969  0.000000
53 1 0.000000 17.500000 19.398969  0.000000
54 5 0.000000 21.700000 19.398969  0.000000
55 5 0.000000 0.700000 21.823840  0.000000
56 1 0.000000 4.900000 21.823840  0.000000
57 1 0.000000 9.100000 21.823840  0.000000
58 1 0.000000 13.300000 21.823840  0.000000
59 5 0.000000 17.500000 21.823840  0.000000
60 1 0.000000 21.700000 21.823840  0.000000
61 1 0.000000 2.100000 0.000000  0.000000
62 5 0.000000 6.300000 0.000000  0.000000
63 1 0.000000 10.500000 0.000000  0.000000
64 5 0.000000 14.700000 0.000000  0.000000
65 1 0.000000 18.900000 0.000000  0.000000
66 1 0.000000 23.100000 0.000000  0.000000
67 1 0.000000 2.100000 2.424871  0.000000
68 5 0.000000 6.300000 2.424871  0.000000
69 1 0.000000 10.500000 2.424871  0.000000
70 5 0.000000 14.700000 2.424871  0.000000
71 1 0.000000 18.900000 2.424871  0.000000
72 1 0.000000 23.100000 2.424871  0.000000
73 5 0.000000 2.100000 4.849742  0.000000
74 5 0.000000 6.300000 4.849742  0.000000
75 1 0.000000 10.500000 4.849742  0.000000
76 5 0.000000 14.700000 4.849742  0.000000
77 1 0.000000 18.900000 4.849742  0.000000
78 5 0.000000 23.100000 4.849742  0.000000
79 1 0.000000 2.100000 7.274613  0.000000
80 5 0.000000 6.300000 7.274613  0.000000
81 1 0.000000 10.500000 7.274613  0.000000
82 5 0.000000 14.700000 7.274613  0.000000
83 5 0.000000 18.900000 7.274613  0.000000
84 1 0.000000 23.100000 7.274613  0.000000
85 1 0.000000 2.100000 9.699485  0.000000
86 5 0.000000 6.300000 9.699485  0.000000
87 5 0.000000 10.500000 9.699485  0.000000
88 5 0.000000 14.700000 9.699485  0.000000
89 1 0.000000 18.900000 9.699485  0.000000
90 1 0.000000 23.100000 9.699485  0.000000
91 5 0.000000 2.100000 12.124356  0.000000
92 1 0.000000 6.300000 12.124356  0.000000
93 1 0.000000 10.500000 12.124356  0.000000
94 1 0.000000 14.700000 12.124356  0.000000
95 5 0.000000 18.900000 12.124356  0.000000
96 1 0.000000 23.100000 12.124356  0.000000
97 5 0.000000 2.100000 14.549227  0.000000
98 5 0.000000 6.300000 14.549227  0.000000
99 1 0.000000 10.500000 14.549227  0.000000
100 1 0.000000 14.700000 14.549227  0.000000
101 1 0.000000 18.900000 14.549227  0.000000
102 5 0.000000 23.100000 14.549227  0.000000
103 1 0.000000 2.100000 16.974098  0.000000
104 1 0.000000 6.300000 16.974098  0.000000
105 1 0.000000 10.500000 16.974098  0.000000
106 5 0.000000 14.700000 16.974098  0.000000
107 1 0.000000 18.900000 16.974098  0.000000
108 1 0.000000 23.100000 16.974098  0.000000
109 1 0.000000 2.100000 19.398969  0.000000
110 1 0.000000 6.300000 19.398969  0.000000
111 1 0.000000 10.500000 19.398969  0.000000
112 5 0.000000 14.700000 19.398969  0.000000
113 5 0.000000 18.900000 19.398969  0.000000
114 1 0.000000 23.100000 19.398969  0.000000
115 1 0.000000 2.100000 21.823840  0.000000
116 1 0.000000 6.300000 21.823840  0.000000
117 1 0.000000 10.500000 21.823840  0.000000
118 1 0.000000 14.700000 21.823840  0.000000
119 1 0.000000 18.900000 21.823840  0.000000
120 5 0.000000 23.100000 21.823840  0.000000
121 17 0.000000 0.000000 1.212436  0.000000
122 1 0.000000 4.200000 1.212436  0.000000
123 1 0.000000 8.400000 1.212436  0.000000
124 5 0.000000 12.600000 1.212436  0.000000
125 5 0.000000 16.800000 1.212436  0.000000
126 1 0.000000 21.000000 1.212436  0.000000
127 17 0.000000 0.000000 3.637307  0.000000
128 1 0.000000 4.200000 3.637307  0.000000
129 1 0.000000 8.400000 3.637307  0.000000
130 1 0.000000 12.600000 3.637307  0.000000
131 1 0.000000 16.800000 3.637307  0.000000
132 1 0.000000 21.000000 3.637307  0.000000
133 17 0.000000 0.000000 6.062178  0.000000
134 5 0.000000 4.200000 6.062178  0.000000
135 5 0.000000 8.400000 6.062178  0.000000
136 5 0.000000 12.600000 6.062178  0.000000
137 5 0.000000 16.800000 6.062178  0.000000
138 1 0.000000 21.000000 6.062178  0.000000
139 17 0.000000 0.000000 8.487049  0.000000
140 1 0.000000 4.200000 8.487049  0.000000
141 1 0.000000 8.400000 8.487049  0.000000
142 5 0.000000 12.600000 8.487049  0.000000
143 5 0.000000 16.800000 8.487049  0.000000
144 5 0.000000 21.000000 8.487049  0.000000
145 17 0.000000 0.000000 10.911920  0.000000
146 5 0.000000 4.200000 10.911920  0.000000
147 5 0.000000 8.400000 10.911920  0.000000
148 1 0.000000 12.600000 10.911920  0.000000
149 1 0.000000 16.800000 10.911920  0.000000
150 1 0.000000 21.000000 10.911920  0.000000
151 17 0.000000 0.000000 13.336791  0.000000
152 1 0.000000 4.200000 13.336791  0.000000
153 5 0.000000 8.400000 13.336791  0.000000
154 1 0.000000 12.600000 13.336791  0.000000
155 5 0.000000 16.800000 13.336791  0.000000
156 1 0.000000 21.000000 13.336791  0.000000
157 17 0.000000 0.000000 15.761662  0.000000
158 1 0.000000 4.200000 15.761662  0.000000
159 5 0.000000 8.400000 15.761662  0.000000
160 1 0.000000 12.600000 15.761662  0.000000
161 1 0.000000 16.800000 15.761662  0.000000
162 1 0.000000 21.000000 15.761662  0.000000
163 17 0.000000 0.000000 18.186533  0.000000
164 5 0.000000 4.200000 18.186533  0.000000
165 1 0.000000 8.400000 18.186533  0.000000
166 1 0.000000 12.600000 18.186533  0.000000
167 5 0.000000 16.800000 18.186533  0.000000
168 1 0.000000 21.000000 18.186533  0.000000
169 17 0.000000 0.000000 20.611405  0.000000
170 5 0.000000 4.200000 20.611405  0.000000
171 1 0.000000 8.400000 20.611405  0.000000
172 1 0.000000 12.600000 20.611405  0.000000
173 1 0.000000 16.800000 20.611405  0.000000
174 1 0.000000 21.000000 20.611405  0.000000
175 17 0.000000 0.000000 23.036276  0.000000
176 1 0.000000 4.200000 23.036276  0.000000
177 1 0.000000 8.400000 23.036276  0.000000
178 5 0.000000 12.600000 23.036276  0.000000
179 1 0.000000 16.800000 23.036276  0.000000
180 1 0.000000 21.000000 23.036276  0.000000
181 5 0.000000 2.800000 1.212436  0.000000
182 1 0.000000 7.000000 1.212436  0.000000
183 1 0.000000 11.200000 1.212436  0.000000
184 1 0.000000 15.400000 1.212436  0.000000
185 1 0.000000 19.600000 1.212436  0.000000
186 17 0.000000 23.800000 1.212436  0.000000
187 1 0.000000 2.800000 3.637307  0.000000
188 1 0.000000 7.000000 3.637307  0.000000
189 5 0.000000 11.200000 3.637307  0.000000
190 5 0.000000 15.400000 3.637307  0.000000
191 1 0.000000 19.600000 3.637307  0.000000
192 17 0.000000 23.800000 3.637307  0.000000
193 1 0.000000 2.800000 6.062178  0.000000
194 1 0.000000 7.000000 6.062178  0.000000
195 1 0.000000 11.200000 6.062178  0.000000
196 1 0.000000 15.400000 6.062178  0.000000
197 1 0.000000 19.600000 6.062178  0.000000
198 17 0.000000 23.800000 6.062178  0.000000
199 1 0.000000 2.800000 8.487049  0.000000
200 1 0.000000 7.000000 8.487049  0.000000
201 1 0.000000 11.200000 8.487049  0.000000
202 1 0.000000 15.400000 8.487049  0.000000
203 1 0.000000 19.600000 8.487049  0.000000
204 17 0.000000 23.800000 8.487049  0.000000
205 1 0.000000 2.800000 10.911920  0.000000
206 1 0.000000 7.000000 10.911920  0.000000
207 1 0.000000 11.200000 10.911920  0.000000
208 5 0.000000 15.400000 10.911920  0.000000
209 5 0.000000 19.600000 10.911920  0.000000
210 17 0.000000 23.800000 10.911920  0.000000
211 1 0.000000 2.800000 13.336791  0.000000
212 5 0.000000 7.000000 13.336791  0.000000
213 5 0.000000 11.200000 13.336791  0.000000
214 1 0.000000 15.400000 13.336791  0.000000
215 5 0.000000 19.600000 13.336791  0.000000
216 17 0.000000 23.800000 13.336791  0.000000
217 1 0.000000 2.800000 15.761662  0.000000
218 1 0.000000 7.000000 15.761662  0.000000
219 1 0.000000 11.200000 15.761662  0.000000
220 1 0.000000 15.400000 15.761662  0.000000
221 1 0.000000 19.600000 15.761662  0.000000
222 17 0.000000 23.800000 15.761662  0.000000
223 1 0.000000 2.800000 18.186533  0.000000
224 5 0.000000 7.000000 18.186533  0.000000
225 5 0.000000 11.200000 18.186533  0.000000
226 1 0.000000 15.400000 18.186533  0.000000
227 1 0.000000 19.600000 18.186533  0.000000
228 17 0.000000 23.800000 18.186533  0.000000
229 1 0.000000 2.800000 20.611405  0.000000
230 1 0.000000 7.000000 20.611405  0.000000
231 1 0.000000 11.200000 20.611405  0.000000
